GLOSS ID	LIST ID	ENGLISH	HUS	MUR	HYD	GAN	NAZ	UYU	HOP	YAS_C	THU
Backstrom-1992-210c-134	Burushaski-133	long (horizontal)	g̣oˈsɑnum	g̣oˈsɑnum	g̣oˈsɑnum	g̣oˈsɑnum	ɣoˈsɑnum	g̣oˈsɑnum	ɣoˈsɑnum	ɣoˈsɑnum	ɣoˈsɑnum
Backstrom-1992-210c-135	Burushaski-134	short	kʰuṭ	čʰʌṭ	čʰʌṭ	čʰʌṭ	kʰuṭ	kʰuṭ / čʰʌṭ	kʰuṭ / čʰʌṭ	čʰʌṭ	čʰʌṭ
Backstrom-1992-210c-136	Burushaski-135	hot	gɑˈrurum	gɑˈrurum	gɑˈrurum	gɑˈrurum	gɑˈrurum	gʌˈruum	gʌˈruum	gʌruˈum	gʌruˈum
Backstrom-1992-210c-137	Burushaski-136	cold	čʰɑˈɣurum	čʰɑˈɣurum	čʰɑˈɣurum	čʰɑˈɣurum	čʰɑˈɣurum	čʰɑˈɣurum	čʰɑˈɣurum	čʰɑˈɣoorum	čʰɑˈɣoorum
Backstrom-1992-210c-138	Burushaski-137	right	ˈdoỵpɑ	ˈdoỵpɑ	ˈdoỵpɑ	ˈdoỵpɑ	ˈdoỵpɑ	ˈdoỵpɑ	ˈdoỵpɑ	ˈdoomo	ˈdoomo
Backstrom-1992-210c-139	Burushaski-138	left	ˈg̣ɑỵpɑ	ˈg̣ɑỵpɑ	ˈg̣ɑỵpɑ	ˈg̣ɑỵpɑ	ˈɣɑỵpɑ	ˈg̣ɑỵpɑ	ˈg̣ɑỵpɑ	ˈɣɑɑmo	ˈɣɑɑmo
Backstrom-1992-210c-140	Burushaski-139	near	ɑsiˈir	ɑsiˈir	ɑsiˈir	ɑsiˈir	ɑsiˈir	ɑsiˈir	ɑsiˈir	ɑsuˈur	ɑsuˈur
Backstrom-1992-210c-141	Burushaski-140	far	mɑˈtʰʌn	mɑˈtʰʌn	mɑˈtʰʌn	mɑˈtʰʌn	mɑˈtʰʌn	mɑˈtʰʌn	mɑˈtʰʌn	mɑˈtʰʌn	mɑˈtʰʌn
Backstrom-1992-210c-142	Burushaski-141	big	uˈyum	uˈyum	uˈyum	uˈyum	uˈyum	uˈyum	uˈyum	nʸũ	nʸu
Backstrom-1992-210c-143	Burushaski-142	small	ǰoṭ	ǰoṭ	ǰoṭ	ǰoṭ	ǰoṭ	ǰoṭ	ǰoṭ	ˈɛčoɣʊn	ˈɛčoɣʊn
Backstrom-1992-210c-144	Burushaski-143	heavy	t͡sʰuˈum	t͡sʰuˈum	t͡sʰuˈum	t͡sʰuˈum	t͡sʰuˈum	t͡sʰuˈum	t͡sʰuˈum	t͡sʰuˈlum	t͡sʰuˈlum
Backstrom-1992-210c-145	Burushaski-144	light	huˈmɑlkum	huˈmɑlkum	huˈmɑlkum	huˈmɑlkum	huˈmɑlkum	huˈmɑlkum	huˈmɑlkum	huˈmɑlkum	huˈmɑlkum
Backstrom-1992-210c-146	Burushaski-145	above	ˈyʌṭe	ˈyʌṭe	ˈyʌṭe	ˈyʌṭe	ˈyʌṭe	ˈyʌṭe	ˈyʌṭe	ˈyʌṭe	ˈyʌṭe
Backstrom-1992-210c-147	Burushaski-146	below	ˈyɑɑre	ˈyɑɑre	ˈyɑɑre	ˈyɑɑre	ˈyɑɑre	ˈyɑɑre	ˈyɑɑre	ˈyɑɑre	ˈyɑɑre
Backstrom-1992-210c-148	Burushaski-147	white	buˈrum	buˈrum	buˈrum	buˈrum	buˈrum	buˈrum	buˈrum	buˈrum	buˈrum
Backstrom-1992-210c-149	Burushaski-148	black	mɑˈtum	mɑˈtum	mɑˈtum	mɑˈtum	mɑˈtum	mɑˈtum	mɑˈtum	mɑˈtum	mɑˈtum
Backstrom-1992-210c-150	Burushaski-149	red	ˈbɑɑrdum	ˈbɑɑrdum	ˈbɑɑrdum	ˈbɑɑrdum	ˈbɑɑrdum	ˈbɑɑrdum	ˈbɑɑrdum	ˈbɑɑrdum	ˈbɑɑrdum
Backstrom-1992-210c-151	Burushaski-150	one	hʌn	hʌn	hʌn	hʌn	hʌn	hʌn	hʌn	hʌn	hʌn
Backstrom-1992-210c-152	Burushaski-151	two	ɑlˈtʌ (m.)	ɑlˈtʌ (m.)	ɑlˈtʌ (m.)	ɑlˈtʌ (m.)	ɑlˈtʌ (m.)	ɑlˈtʌt͡s (m.)	ɑlˈtʌt͡s (m.)	ɑɬˈto (f.)	ɑɬˈto (f.)
Backstrom-1992-210c-153	Burushaski-152	three	usˈko (m.)	usˈko (m.)	usˈko (m.)	usˈko (m.)	usˈko (m.)	usˈko (m.)	usˈko (m.)	ɪsˈki (f.)	ɪsˈki (f.)
Backstrom-1992-210c-154	Burushaski-153	four	ˈwɑɑlto (m.)	ˈwɑɑlto (m.)	ˈwɑɑlto (m.)	ˈwɑɑlto (m.)	ˈwɑɑlto (m.)	ˈwɑɑlto (m.)	ˈwɑɑlto (m.)	ˈwɑɑɬte (f.)	ˈwɑɑɬte (f.)
Backstrom-1992-210c-155	Burushaski-154	five	t͡sʰunˈdo (m.)	t͡sʰunˈdo (m.)	t͡sʰunˈdo (m.)	t͡sʰunˈdo (m.)	t͡sʰunˈdo (m.)	t͡sʰunˈdo (m.)	t͡sʰunˈdo (m.)	t͡sɪnˈdi (f.)	t͡sɪnˈdi (f.)
Backstrom-1992-210c-156	Burushaski-155	six	mɪˈšindo (m.)	mɪˈšindo (m.)	mɪˈšindo (m.)	miˈšindo (m.)	miˈšindo (m.)	miˈšindo (m.)	mɪˈšɪndo (m.)	mɪˈšɪnde (f.)	bɪˈšɪnde (f.)
Backstrom-1992-210c-157	Burushaski-156	seven	tʰʌˈlo (m.)	tʰʌˈlo (m.)	tʰʌˈlo (m.)	tʰʌˈlo (m.)	tʰʌˈlo (m.)	tʰʌˈlo (m.)	tʰʌˈlo (m.)	tʰɑɑˈle (f.)	tʰɑɑˈle (f.)
Backstrom-1992-210c-158	Burushaski-157	eight	ɑlˈtɑmbo (m.)	ɑlˈtɑmbo (m.)	ɑlˈtɑmbo (m.)	ɑlˈtɑmbo (m.)	ɑlˈtɑmbo (m.)	ɑlˈtɑmbo (m.)	ɑlˈtɑmbo (m.)	ɑɬˈtʌmbe (f.)	ɑɬˈtʌmbe (f.)
Backstrom-1992-210c-159	Burushaski-158	nine	hunˈčo (m.)	hunˈčo (m.)	hunˈčo (m.)	hunˈčo (m.)	hunˈčo (m.)	hunˈčo (m.)	hunˈčo (m.)	huˈṭi (f.)	huˈṭi (f.)
Backstrom-1992-210c-160	Burushaski-159	ten	ˈtoorumo	ˈtoorumo	ˈtoorumo	ˈtoorumo	ˈtoorumo	ˈtoorumo	ˈtoorumo	ˈtoorum	ˈtoorum
Backstrom-1992-210c-161	Burushaski-160	eleven	ˈturmɑ hʌn	ˈturmɑ hʌn	ˈturmɑ hʌn	ˈturmɑ hʌn	ˈturmɑ hʌn	ˈturmɑ hʌn	ˈturmɑ hʌn	ˈturmɑ hʌn	ˈturmɑ hʌn
Backstrom-1992-210c-162	Burushaski-161	twelve	ˈturmɑ ɑlˈtʌ	ˈturmɑ ɑlˈtʌ	ˈturmɑ ɑlˈtʌ	ˈturmɑ ɑlˈtʌ	ˈturmɑ ɑlˈtʌ	ˈturmɑ ɑlˈtʌt͡s	ˈturmɑ ɑlˈtʌt͡s	ˈturmɑ ɑɬto	ˈturmɑ ɑɬto
Backstrom-1992-210c-163	Burushaski-162	twenty	ˈɑltʌr	ˈɑltʌr	ˈɑltʌr	ˈɑltʌr	ˈɑltʌr	ˈɑltʰɑr	ˈɑltʰɑr	ˈɑɬtʌr	ˈɑɬtɑr
Backstrom-1992-210c-164	Burushaski-163	one hundred	tʰɑ	tʰɑ	tʰɑ	tʰɑ	tʰɑ	tʰɑ	tʰɑ	tʰʌ	tʰʌ
Backstrom-1992-210c-165	Burushaski-164	who	ˈmɛnʌn	ˈmɛnʌn	ˈmɛnʌn	ˈmɛnʌn	ˈmɛnʌn		ˈmɛnɛn	mɛn	mɛn
Backstrom-1992-210c-166	Burushaski-165	what	ˈbɛsʌn	ˈbɛsʌn	ˈbɛsʌn	ˈbɛsʌn	ˈbɛsʌn	ˈbɛsʌn	ˈbɛsʌn	ˈboo	ˈboo
Backstrom-1992-210c-167	Burushaski-166	where	ˈɑmulo	ˈɑmulo	ˈɑmulo	ˈɑmulo	ˈɑmulo	ˈɑmʌli	ˈɑmʊli	ˈɑne	
Backstrom-1992-210c-168	Burushaski-167	when	ˈbɛšʌl	ˈbɛšʌl	ˈbɛšʌl	ˈbɛšʌl	ˈbɛšʌl	ˈbɛšʌl	ˈbɛšʌlɛ	ˈbʌšʌ	ˈbɑšɛ
Backstrom-1992-210c-169	Burushaski-168	how much	ˈbeʌrum	ˈbeʊrum	ˈbeʊrum	ˈbeʌrum	ˈbeʌrum	ˈbeerum	ˈbeerum	ˈbeerum	ˈbeerum
Backstrom-1992-210c-170	Burushaski-169	which	ˈɑmis	ˈɑmis	ˈɑmis	ˈɑmis	ˈɑmis	ˈɑmis	ˈɑmis	ˈɑmɪs	ˈɑmɛs
Backstrom-1992-210c-171	Burushaski-170	this	guˈse	guˈse	guˈse	guˈse	guˈse	kuˈsɛ	kuˈsɛ	gʊˈsɛ	gɪˈsɛ
Backstrom-1992-210c-172	Burushaski-171	that	iˈse	iˈse	iˈse	iˈse	iˈse	ɛˈsɛ	ɛˈsɛ	sɛ	sɛ
Backstrom-1992-210c-173	Burushaski-172	these	guˈt͡se	guˈt͡se	guˈt͡se	guˈt͡se	guˈt͡se	kuˈt͡sɛ	kuˈt͡sɛ	guˈt͡sɛ	gʊˈt͡sɛ
Backstrom-1992-210c-174	Burushaski-173	those	iˈt͡se	iˈt͡se	iˈt͡se	iˈt͡se	iˈt͡se	ɛˈt͡sɛ	ɛˈt͡sɛ	t͡sɛ	t͡se
Backstrom-1992-210c-176	Burushaski-174	different	ˈtʰumɪšo	ˈtʰumɪšo	ˈtʰumɪšo	ˈtʰumɪšo	ˈtʰumɪšo	ˈtʰumišo	ˈtʰumišo	tʰum	tʰum tʰum
Backstrom-1992-210c-177	Burushaski-175	whole (unbroken)	tɑzɑ				tɑzɑ			tɑzɑ	
Backstrom-1992-210c-179	Burushaski-176	few	ˈkʌmʌn	ˈkʌmʌn	ˈkʌmʌn	ˈkʌmʌn	ˈkʌmʌn	ˈkʌmʌn	ˈkʌmʌn		ˈkʌmʌn
Backstrom-1992-210c-180	Burushaski-177	many	buṭ	buṭ	buṭ	buṭ	buṭ	buṭʰ	buṭʰ	buṭʰ	buṭʰ
Backstrom-1992-210c-181	Burushaski-178	all	uˈyoon	uˈyoon	uˈyoon	uˈyoon	uˈyoon	uˈyoon	uˈyoon	sʌo̥	sʌo̥
Backstrom-1992-210c-182	Burushaski-179	eat!	ṣ̌i	ṣ̌i	ṣ̌i	ṣ̌i	ṣ̌i	ṣ̌i	ṣ̌i	ṣ̌e	ṣ̌e
Backstrom-1992-210c-183	Burushaski-180	(the dog) bites	č̣ʌṭ ɛčibi	č̣ʌṭ ɛčibi	č̣ʌṭ ɛčibi	č̣ʌṭ ɛtimi	č̣ʌṭ ɛtibi		č̣ɑṭ ɛčibi	ṣ̌ɪmbi	miˈṣ̌uč̣umbi
Backstrom-1992-210c-184	Burushaski-181	(you) are hungry	ˈč̣ʰʌmine bɑ	ˈč̣ʰʌmine bɑ	ˈč̣ʰʌmine bɑ	ˈč̣ʰʌmine bɑ	ˈč̣ʰʌmine bɑ	ˈč̣ʰɑmine bɑ	ˈč̣ʰɑmine bɑ	č̣ʰʌm bɑ	č̣ʰʌm bɑ
Backstrom-1992-210c-185	Burushaski-182	drink!	miˈnɛ	miˈnɛ	miˈnɛ	miˈnɛ	miˈnɛ	miˈnɛ	miˈnɛ	mɛˈnɛ	mɛˈnɛ
Backstrom-1992-210c-186	Burushaski-183	(you are) thirsty	guˈuỵwɑ	guˈuỵo	guˈuỵo	guˈuỵo	guˈuỵum	guˈuỵ	guˈuỵ	guˈɑnum	guˈɑnum
Backstrom-1992-210c-187	Burushaski-184	sleep!	ˈgoyɛn	ˈgoyɛn	ˈgoyɛn	ˈgoyɛn	ˈgoyɛn	ˈgoyɛn	ˈgoyɛn	ˈgoyɛn	ˈgoyɛn
Backstrom-1992-210c-188	Burushaski-185	lay down!	ǰ̣eˈek mɑˈnɛ	ǰ̣eˈek mɑˈnɛ	ǰ̣eˈek mɑˈnɛ	ǰ̣eˈek mɑˈnɛ	ǰ̣eˈek mɑˈnɛ	ǰ̣eˈek mʌn	ǰ̣eˈek mʌn		ɑˈrɑmuṭ
Backstrom-1992-210c-189	Burushaski-186	sit!	uru	uru	uru	uru	huru	huˈru	uruṭʰ	huˈruṭ	huˈruṭ
Backstrom-1992-210c-190	Burushaski-187	give!	ǰoˈo	ǰoˈo	ǰoˈo	ǰoˈo	ǰoˈo	ǰʌˈo	ǰʌˈo	ɑˈu	ɑˈu
Backstrom-1992-210c-191	Burushaski-188	burn! (trans.)	ˈɛsqul	ˈɛsqul	ˈɛsqul	ˈɛsqul	ˈɛsqul	ˈɛsqul	ˈɛsqul	ˈɛsqul	ˈɛsqul
Backstrom-1992-210c-192	Burushaski-189	(he) died	iˈirimi	iˈirimi	iˈirimi	iˈirimi	iˈirimi	iˈirimi	iˈirimi	yuˈuri	yuˈuri
Backstrom-1992-210c-193	Burushaski-190	beat!	ˈdɛli	ˈdɛli	ˈdɛli	ˈdɛli	ˈdɛli	ˈdɛli	ˈdɛli	dɪl	dɪl
Backstrom-1992-210c-194	Burushaski-191	(the bird) flies	duˈwɑlǰibi	duˈwɑlǰibi	duˈwɑlǰibi	duˈwɑlǰibi	duˈwɑlǰibi	hɑrt	hɑrt	duwɑlčʊm bi	duwɑlčʊm bi
Backstrom-1992-210c-195	Burushaski-192	walk!	guˈt͡sʰɑr	guˈt͡sʰɑr	guˈt͡sʰɑr	guˈt͡sʰɑr	guˈt͡sʰɑr	gut͡sʰɑr	gut͡sʰɑr	gut͡sʰɑr	gʊn
Backstrom-1992-210c-196	Burushaski-193	run!	gɑɑrt͡s	gɑɑrt͡s	gɑɑrt͡s		gɑɑrt͡s	gɑɑrt͡s	gɑɑrt͡s	huˈwɛ	huˈwɛ
Backstrom-1992-210c-197	Burushaski-194	go!	ni	ni	ni		ni	niʰ	niʰ	nɛʰ	
Backstrom-1992-210c-198	Burushaski-195	come!	ǰ̣u	ǰ̣u	ǰ̣u	ǰ̣u	ǰ̣u	ǰ̣u	ǰ̣u	ǰ̣o	ro
Backstrom-1992-210c-199	Burushaski-196	speak!	ˈčɑɣɑ e	ˈčɑɣɑ e	ˈčɑɣɑ e	ˈčɑɣɑ ɛ	ˈčɑɣɑ ɛ	ˈčɑɣɑ ɛti	ˈčɑɣɑ ɛti		
Backstrom-1992-210c-200	Burushaski-197	listen! / hear!	duˈkoyɛl	duˈkoyɛl	duˈkoyɛl	duˈkoyɛl	duˈkoyɛl	duˈkoyɛl	duˈkoyɛl	guɬˈtumʌl ɛt	guɬˈtumʌl ɛt
Backstrom-1992-210c-201	Burushaski-198	look!	bɑˈrɛn	bɑˈrɛn	bɑˈrɛn	bɑˈrɛn	bɑˈrɛn	bɑˈrɛn	bɑˈrɛn	ˈɣɑɑn	ˈɣɑɑn
Backstrom-1992-210c-202	Burushaski-199	I	ǰɛ	ǰɛ	ǰɛ	ǰɛ	ǰɛ	ǰɛ	ǰɛ	ǰʌ	ǰʌ
Backstrom-1992-210c-203	Burushaski-200	you	un	un	un	un	un	um	um	un	
Backstrom-1992-210c-205	Burushaski-201	he	in	in	in	in	in	in	in	nɛ	nɛ
Backstrom-1992-210c-206	Burushaski-202	she	in	in	in	in	in	in	in	mo	mo
Backstrom-1992-210c-207	Burushaski-203	we	mi	mi	mi	mi	mi	mi	mi	mi	mi
Backstrom-1992-210c-209	Burushaski-204	you (plural)	mɑ	mɑ	mɑ	mɑ	mɑ	mɑ	mɑ	mɑ	mɑ
Backstrom-1992-210c-210	Burushaski-205	they	u	u	u	u	u	u	u		
