Grapheme	IPA	LANGUAGES
uu	u u	gul, saz, har, krm, dar, sas, tan, drs, jal, ron, ast, chk, uyu, chj, bag, gup, hop, bun, goh, kol, hun, dsh, pun, clt, mur, gan, kac, hus, thu, naz, sat, yasc, hyd, gil
^ˈp	ˈp/p	nag, chk, kac, dsh, bun, ron, sas, chj, ast, jal, hun, gul, clt, gup, saz, pal, har, krm, kol, sat, gil, pun, goh, tan, bag, dar, mur, gan, yas, drs, hus, thu, naz, yasc, hyd, chp, ish
p$	p	chp, shm, psu, yas, yasc, ish, domaaki, uyu, mur, gan, hop, urdu, hus, thu, ron, sas, skb, bag, gup, kmg, shg, ronb, pal, krm, naz, hyd, cho, khp, pun, clt, goh, chj, tan, ast, saz, drs, chk, kac, jal, har, kol, sat, psk, gil, hun, dsh, gul, dar, bun
^w	β̞	pashto, shm, chp, psu, ish, yas, hun, gup, urdu, tan, bag, drs, chk, jal, pal, pun, clt, goh, ron, sas, chj, ast, saz, gul, kac, krm, har, kol, sat, yasc, dsh, dar, bun
^ˈt	ˈt̪/t̪	yasc, thu, ron, mur, gan, naz, hyd, clt, uyu, saz, hop, kac, nag, hus, krm, kol, gil, bun, goh, sas, chj, tan, bag, ast, gup, drs, chk, jal, pal, har, sat, hun, dsh, pun, gul, dar, domaaki
r̃$	r̪	clt, bag, sas, pun, hun, chk, gup, sat, ron, tan, kac, bun, goh, chj, ast, dsh, saz, har, gil, gul, drs, nag, krm, kol
tʰ	tʰ	pal, ast, jal, kol, sat, gil, pun, sas, chj, bag, drs, urdu, chk, nag, psk, dsh, bun, goh, ron, skb, kmg, saz, kac, shg, ronb, krm, cho, khp, dar, clt, uyu, tan, gup, hop, har, thu, chp, hun, gul
^ˈkʰ	ˈkʰ/kʰ	clt, ron, sas, chj, chk, kac, sat, gil, dsh, pun, dar, bun, goh, tan, ast, gup, saz, nag, jal, pal, har, gul, bag, krm, kol, hun, mur, gan, drs, thu, naz, yasc, hyd
x	x	khp, psu, pashto, chp, ish, skb, shg, ronb, shm, kmg, cho, yas, urdu, psk, yasc, thu, goh
č$	tɕ	ish, yas, shm, chp, psu, pal, sas, urdu, chk, yasc, clt, goh, domaaki, ron, chj, bag, jal, thu, kol, uyu, ast, gup, nag, hun, dsh, pun, pashto, dar, bun
ʌ̱	ɜ̠/ɜ	bun, hun, sas, pun, ast, gil, dsh, gul, bag, clt, tan, gup, nag, kol, goh, chk, dar, jal, pashto
ˈṭ	ˈʈ/ʈ	hun, sas, chj, bag, chk, pun, ron, tan, ast, kac, gil, dsh, dar, clt, gup, nag, har, krm, sat, saz, jal, thu, kol, yasc, goh, bun
ò	ò/o	clt, gil, sas, hun, bun, goh, bag, nag, sat, pun, kac, gup, jal, pal, dar, ron, chj, ast, chk, kol, dsh, gul
q	q	skb, ronb, psk, cho, uyu, gan, kmg, hop, shg, hus, naz, mur, hyd, khp, ish, shm, chp, psu, urdu, thu, yasc
^u	u	mur, gan, hop, hus, naz, hyd, uyu, pashto, thu, yasc, kac, jal, pal, krm, kol, sat, dsh, clt, goh, ron, sas, bag, ast, gup, drs, urdu, chk, gul, nag, pun, bun
ˈs	ˈs̪/s̪	uyu, mur, gan, hop, jal, hus, pal, naz, hyd, kol, thu, yasc, chj, tan, chk, krm, psu, dar, sas, yas, shm, kac, nag, har, sat, chp, bun
^ˈš	ˈɕ/ɕ	pal, gil, pun, bun, tan, gup, krm, har, dar, clt, ron, sas, bag, saz, kac, nag, jal, sat, hun, dsh, goh, chj, ast, drs, chk, yasc, gul, thu, kol
í$	í/i	gil, clt, bag, hun, goh, sas, pun, kac, nag, jal, sat, bun, chj, ast, gup, chk, pal, dsh, tan, saz, krm, ron, har, gul, dar
^z	z̪	yas, kmg, chp, psu, skb, shg, ronb, khp, ish, psk, cho, pashto, shm, urdu, yasc, dar, drs, krm, har, thu
^ˈl	ˈl/l	dsh, ast, sat, gul, sas, kac, nag, krm, chj, chk, goh, drs, har, kol, dar, clt, ron, jal, pal, gil, pun, bun, tan, bag, hun
ṣ̌	ʂ	drs, sat, kac, ast, gup, krm, dsh, pun, gul, clt, domaaki, sas, tan, nag, thu, hun, ron, uyu, bag, chk, yasc, gil, dar, goh, mur, chj, gan, hus, pal, kol, naz, hyd, bun
^čʰ	tɕʰ	urdu, uyu, skb, kmg, hop, shg, cho, domaaki, mur, gan, ronb, thu, yasc, psk, hyd, khp, hus, naz, clt, tan, bag, krm, hun
^ʌ	ɜ	saz, goh, ron, kac, chj, kmg, har, sat, cho, tan, chk, gul, krm, dar, domaaki, skb, urdu, shg, ronb, hus, psk, khp, clt, mur, ast, gup, drs, jal, pal, naz, hyd, gil, dsh, pashto
^t͡sʰ	tθʰ	mur, gan, hop, hus, naz, hyd, uyu, skb, kmg, shg, ronb, khp, psk, cho, thu, yasc, clt, goh, domaaki, ron, chj, ast, gup, saz, drs, chk, kac, nag, jal, pal, kol, gil, hun, dsh, pun
ˈu	ˈu/u	naz, hyd, hop, uyu, hus, mur, gan, yasc, thu, domaaki, sat, gul, kac, sas, ast
ũ$	ũ	kac, ast, dsh, gul, goh, sas, bag, pal, kol, clt, ron, chj, chk, nag, jal, sat, gil, tan, drs, urdu, hun, pun, dar, domaaki, hus, krm, yasc, bun
w	β̞	pashto, urdu, hun, sas, domaaki, chj, gup, chk, gil, clt, bag, kmg, nag, thu, khp, dsh, dar, bun, goh, uyu, skb, ast, yas, hop, gul, kac, ronb, har, krm, sat, yasc, cho, ish, psu, pun
ɣ	ɣ	pashto, chp, shg, yas, shm, psk, ish, psu, ronb, cho, domaaki, skb, kmg, yasc, thu, khp, uyu, mur, gan, hop, urdu, kac, nag, hus, naz, hyd, hun, dar
č̣	ʈʂ	sas, pal, uyu, bag, clt, mur, gan, hop, chk, jal, thu, naz, hyd, hun, dar, goh, ron, chj, tan, gup, nag, hus, har, sat, yasc, pun, ast, saz, kac, kol, gil, dsh, bun
ˈw	ˈβ̞/β̞	thu, sas, ast, jal, yasc, gul, goh, clt, ron, mur, tan, bag, gan, yas, shm, kac, nag, pal, krm, har, kol, naz, sat, hyd, chp, ish, psu, dsh, dar, bun, domaaki, uyu, chj, gup, saz, hop, drs, chk, hus, gil, hun, pun
^ˈč	ˈtɕ/tɕ	bag, chj, dsh, chk, nag, gul, clt, sas, ast, gup, pal, gil, hun, pun, kac, jal, krm, sat, dar, bun, goh, domaaki, ron, uyu, mur, tan, gan, saz, hop, drs, hus, har, kol, naz, hyd
^t͡s	tθ	skb, kmg, yas, shg, ronb, khp, thu, yasc, psk, cho, ish, kol, psu, pal, har, ron, uyu, mur, tan, ast, gan, saz, hop, shm, drs, kac, jal, hus, krm, naz, sat, chp, gul
ˈb	ˈb/b	nag, domaaki, bag, jal, pal, krm, chj, drs, kol, gil, bun, clt, sas, gup, saz, yas, chk, har, psu, dsh, pun, dar, goh, ron, uyu, tan, ast, gan, hop, shm, thu, naz, sat, yasc, chp, hun, ish, gul
^č̣	ʈʂ	drs, ronb, gul, skb, tan, ast, kac, shg, dsh, chj, saz, shm, chk, nag, jal, pal, har, krm, sat, khp, chp, psu, dar, clt, goh, domaaki, ron, sas, mur, bag, gan, gup, yas, hop, hus, kol, naz, hyd, gil, hun, pun, bun
z$	z̪	yas, ish, chp, psu, shm, nag, urdu, jal, pal, kol, pashto, sas, yasc, gil, goh, ron, drs, krm, hun, bun
ó$	ó/o	clt, sas, bag, nag, gil, hun, pun, bun, kac, sat, goh, domaaki, skb, chj, ast, gup, kmg, shg, ronb, psk, cho, khp, dsh, gul
^ˈs	ˈs̪/s̪	jal, bun, ron, pal, har, sat, clt, goh, sas, chj, tan, bag, ast, gup, saz, chk, kac, nag, krm, thu, kol, yasc, gil, hun, dsh, pun, gul, dar, uyu, mur, gan, yas, hop, drs, hus, naz, hyd
h	h	urdu, domaaki, kac, ron, pal, sat, pashto, mur, gup, chk, jal, naz, yasc, gil, dsh, pun, bun, goh, uyu, chj, ast, gan, hop, drs, gul, hus, thu, kol, hyd, dar
ˈč	ˈtɕ/tɕ	clt, ron, ast, nag, pal, bun, jal, gul, goh, domaaki, sas, bag, gup, kac, sat, hun, dsh, pun, dar, uyu, mur, chj, tan, gan, saz, hop, chk, hus, krm, har, kol, naz, hyd, gil, psu
ɑ̱	ɑ̠/ɑ	bun, hun, bag, clt, gil, ast, sas, dsh, pun, jal, pal, chj, nag, krm, gul, dar, gup
u̱$	u̠/u	nag, clt, pal, jal, gil, hun, bun, sas, chk, chj, ast, gup, kol, dsh, pun, gul, bag, krm, dar
ˈṛ	ˈɽ/ɽ	sat, gul, tan, krm, kol, ron, saz, drs, har, clt, sas, ast, bag, chk, nag, jal, pal, hun, dsh, bun, chj, gup, kac, gil, pun, dar
t͡s$	tθ	uyu, hop, gan, mur, hus, naz, hyd, clt, hun, thu, sas, bag, domaaki, ron, yas, shm, nag, yasc, chp, ish, psu
kʰ$	kʰ	yas, shm, psu, chp, goh, chj, urdu, chk, kac, kol, ish, clt, domaaki, ron, sas, tan, bag, ast, gup, kmg, saz, drs, gul, nag, jal, pal, krm, har, sat, gil, hun, dsh, pun, pashto, dar, bun
^ˈh	ˈh/h	chj, dsh, ast, chk, yasc, bun, clt, tan, gup, saz, drs, kac, jal, pal, thu, kol, sat, pun, gul, goh, ron, uyu, sas, mur, gan, hop, nag, hus, har, krm, naz, hyd, gil, hun, dar
ɑ̃	ɑ̃	kac, psk, dsh, clt, kmg, urdu, nag, sat, gul, goh, ron, sas, bag, pal, krm, pun, domaaki, chj, tan, ast, gup, drs, chk, shg, jal, ronb, har, cho, gil, hun
^ɛ	ɛ	uyu, hop, pal, har, pun, clt, goh, domaaki, sas, chj, tan, ast, bag, saz, chk, jal, thu, kol, gil, dar, ron, mur, gup, gan, drs, kac, krm, naz, sat, yasc, hun, dsh, gul, bun
ʉ	ʉ	chp, psu, yas, shm, ish
^ˈg	ˈg/g	bag, ast, drs, kol, gul, domaaki, uyu, mur, tan, gup, chk, jal, hus, naz, hyd, gil, dsh, bun, clt, goh, ron, sas, chj, gan, saz, hop, kac, nag, pal, har, krm, thu, sat, yasc, pun, dar
ɛʰ$	ɛʰ/ɛ	saz, kac, sat, dsh, ron, ast, pal, har, krm, gul, clt, goh, chj, tan, gup, chk, jal, kol, hun, sas, bag, yasc, gil, pun, dar, bun
ǰ	dʑ	urdu, domaaki, kac, pun, clt, ron, sas, bag, pashto, krm, khp, gil, gul, bun, goh, mur, skb, chj, ast, gup, gan, saz, chk, shg, ronb, hus, har, naz, sat, hyd, chp, hun, dsh, dar
^x	x	pashto, skb, urdu, shg, khp, kmg, psk, chp, ish, yas, shm, ronb, psu, domaaki, tan, jal, pal, kol, yasc, cho, bun
ú	ú/u	bag, pal, clt, sas, kac, nag, gil, dsh, pun, bun, goh, chj, tan, ast, gup, jal, har, kol, sat, hun, saz, chk, krm, gul
tʰ$	t̪ʰ	kol, sas, jal, pal, goh, ron, chj, tan, bag, saz, yas, chk, kac, har, sat, psu, pun, dar, clt, ast, gup, shm, gul, chp, gil, hun, ish, dsh, pashto
^ɬ	l̪	cho, psk, khp, ronb, shg, skb, kmg
^ɣ	ɣ	yas, chp, ish, yasc, thu, psu, shm, pashto, naz, kmg, hop, cho, khp, ronb, jal, pal, skb, kol
^ˈpʰ	ˈpʰ/pʰ	dar, uyu, saz, har, kol, mur, chj, tan, gan, hop, chk, hus, naz, sat, hyd, gil, clt, goh, domaaki, bag, ast, kac, nag, jal, pal, krm, thu, yasc, hun, dsh, gul, bun
i̱	i̠/i	bun, jal, gup, pal, kol, clt, krm, pun, dar, ast, bag, drs, nag, gil, hun, gul, ron, sas, dsh
ɑ̱ʰ$	ɑ̠/ɑ h	nag, gil, bag, pun, bun, hun, ast, sas, dsh, gul, kol, gup, clt, jal, ron
ii	i i	hun, clt, ron, sas, bag, gup, gil, pun, dar, uyu, gan, kac, jal, pal, bun, mur, chj, tan, saz, chk, hus, thu, naz, sat, yasc, hyd
ì	ì/i	gil, clt, sas, nag, hun, bun, ast, bag, gup, jal, dsh, pun, goh, pal, tan, saz, kac, sat, gul
^ˈn	ˈn̪/n̪	clt, chj, chk, jal, krm, kol, hun, goh, tan, gup, drs, nag, har, gil, pun, gul, ron, sas, ast, bag, saz, kac, thu, sat, yasc, dsh, dar, bun
ɨ	ɨ	ish, yas, psu, shm, chp
^ḍ	ɖ	goh, chk, clt, ron, sas, chj, tan, ast, bag, drs, kac, nag, pashto, pal, krm, har, sat, gil, dsh, gul, bun, gup, saz, jal, kol, hun, pun
ɑⁱ$	ɑi	chk, kac, har, goh, sas, tan, jal, pal, sat, chj, bag, saz, gul, ron, ast, gup, nag, pashto, hun, dsh, pun
ṇ$	ɳ	jal, pal, sat, bun, saz, har, kol, ron, chj, tan, gup, chk, krm, pun, goh, domaaki, ast, drs, kac, yasc, gil, dsh, gul, dar
ˈh	ˈh/h	jal, kol, pal, tan, yas, ish, chj, gup, saz, shm, chp, hun, psu, goh, sas, mur, bag, gan, chk, hus, naz, hyd
ɑʰ$	ɑʰ/ɑ	clt, kol, goh, ron, sas, tan, chk, jal, pal, chj, saz, kac, har, sat, hun, pun, dar, gup, krm, dsh, gul
eⁱ$	ei	krm, chk, pal, ron, tan, kac, jal, dsh, goh, chj, ast, saz, drs, sat, dar, nag, pashto, har, kol, gil, gul, bun
pʰ	pʰ	tan, bag, ast, shm, nag, jal, hus, kol, sat, gil, clt, goh, ron, uyu, sas, mur, chj, gup, gan, hop, urdu, chk, kac, pal, krm, thu, naz, yasc, hyd, chp, hun, ish, psu, dsh, pun, gul, dar, bun
q$	q	khp, skb, kmg, shg, ronb, psk, cho, nag, hun, thu
ˈp	ˈp/p	yas, kol, psu, domaaki, sas, shm, chk, kac, jal, pal, krm, chp, ish, clt, ron, uyu, mur, chj, tan, bag, gan, saz, hop, hus, har, naz, sat, hyd, hun, pun
ˈɣ	ˈɣ/ɣ	mur, hus, domaaki, uyu, gan, hop, naz, hyd, yas, krm, thu, yasc, gil, psu, ron, drs, kac, sat, dsh, bun
é$	é/e	bun, bag, sat, clt, kac, pun, goh, gil, sas, hun, har, ast, nag, saz, dsh, chj, tan
^o	o	domaaki, bun, gil, pun, sas, skb, nag, hun, pashto, clt, goh, ron, bag, ast, kmg, shm, chk, gul, kac, shg, ronb, sat, psk, cho, khp, dsh, psu
ˈǰ	ˈdʑ/dʑ	gil, gup, drs, clt, ron, sas, bag, kac, nag, krm, hun, pun, bun, goh, domaaki, chj, tan, ast, saz, chk, ish, psu, dsh, gul, dar
g$	g	psu, yas, chp, ish, shm, pashto, urdu, gul, chj, ron, dsh, krm, tan, ast, bun
oo$	o o	kol, bun, ron, saz, jal, sas, tan, bag, nag, dar, clt, gup, kac, pal, krm, har, thu, sat, yasc, pun, gul
kʰ	kʰ	urdu, domaaki, chj, chk, kol, clt, ron, sas, tan, bag, ast, gup, saz, drs, kac, nag, jal, krm, har, thu, sat, gil, hun, ish, dsh, pun, gul, dar, bun
č̣$	ʈʂ	domaaki, hun, ast, goh, clt, ron, uyu, mur, chj, tan, bag, gup, gan, saz, yas, shm, chk, jal, hus, pal, har, thu, kol, naz, sat, hyd, chp, ish, psu, dsh, pun, bun
o̱ʰ$	o̠ʰ/o	gil, dsh, ast, nag, sas, pun, bag, gup, bun, hun, gul, sat, clt, goh, kol, dar
f	f	skb, chj, yas, urdu, chp, ish, psu, ron, ast, gup, kmg, shm, drs, chk, gul, nag, jal, ronb, pal, krm, thu, kol, yasc, khp, dsh, pun, pashto, dar, bun
õ$	õ	tan, dar, chk, kac, goh, chj, pal, kol, domaaki, ron, sas, ast, bag, gup, jal, har, sat, psk, dsh, pun, gul, bun
õ	õ	sat, khp, domaaki, shg, clt, ron, bag, cho, dar, sas, skb, tan, drs, kac, nag, krm, kol, psk, hun, dsh, pun
ˈz	ˈz̪/z̪	saz, kac, tan, gup, nag, har, dar, clt, chj, ast, yas, shm, chk, jal, pal, krm, kol, sat, chp, gil, ish, psu, dsh, pun, gul
è	è/e	bag, sas, bun, clt, hun, pun, ast, goh, kac, gil, dsh, sat, nag, pal, gul
ɔ	ɔ	psu, chp, urdu, shm, yas, ish, drs, pashto
t͡s	tθ	khp, cho, kmg, psk, shg, ronb, skb, domaaki, kol, naz, sat, uyu, hus, gan
ɛ̱ʰ$	ɛ̠ʰ/ɛ	gil, pun, bun, ast, nag, gup, sas, hun, gul, clt, dsh, bag
ũ	ũ	chj, goh, sas, urdu, chk, shg, gil, hun, dsh, clt, skb, tan, ast, bag, kmg, saz, nag, ronb, psk, cho, khp, pun, gul, dar
^ž	ʑ	shg, cho, ron, skb, kmg, yas, pal, sat, khp, ish, shm, drs, jal, ronb, krm, thu, kol, psk, chp, psu, pashto, bun
d$	d̪	pashto, ish, urdu, psu, yas, chp, shm, chj, tan, chk
ž	ʑ	kmg, shg, khp, skb, ronb, kol, sat, psk, cho, ish, goh, chj, tan, gup, saz, shm, chk, nag, chp, psu, dar
ĩ	ĩ	ron, kmg, khp, dsh, kac, shg, jal, pal, sat, cho, goh, domaaki, skb, ast, gup, ronb, kol, psk, pun, gul
^ˈɛ	ˈɛ/ɛ	thu, yasc, uyu, mur, gan, hop, jal, hus, naz, hyd, goh, ron, sas, chj, saz, chk, nag, pal, har, krm, kol, bun
ˈɑ	ˈɑ/ɑ	mur, gan, hus, hyd, uyu, hop, jal, thu, naz, yasc, sas, tan, saz, yas, kac, pal, kol, sat, gil, dsh
ˈč̣	ˈʈʂ/ʈʂ	ron, jal, kol, sas, ast, kac, thu, yasc, hun, dsh, pun, clt, goh, tan, bag, gup, chk, krm, sat, gil
ks$	k s̪	kmg, psk, shg, khp, cho, ronb, skb, chp, yas, ish, psu, shm
ɛ̱$	ɛ̠/ɛ	pun, clt, kac, jal, kol, sas, pal, dsh, chj, ast, gup, chk, tan, bag, hun, gul, dar
^ɑ̃	ɑ̃	kac, sat, bag, sas, ast, jal, pal, kol, gul, clt, ron, tan, drs, chk, nag, har, hun, dar, bun
^ˈy	ˈj/j	yasc, naz, hyd, hop, uyu, hus, mur, thu, gan, nag, hun, pun, bun
^g̣	ɢ	hyd, hus, gan, uyu, mur, naz, hop
^ñ	ȵ	shg, skb, kmg, psk, khp, cho, ronb
^ˈd	ˈd̪/d̪	yasc, uyu, mur, gan, hop, hus, naz, hyd, gil, domaaki, sas, chj, gup, saz, drs, jal, pal, thu, kol, hun, pun
^ˈčʰ	ˈtɕʰ/tɕʰ	ast, gil, dsh, pun, bun, clt, domaaki, ron, uyu, sas, mur, tan, gup, gan, saz, hop, nag, hus, krm, thu, naz, sat, yasc, hyd, hun, gul
ĩ$	ĩ	tan, sat, krm, clt, ron, drs, pal, pun, gul, ast, nag, domaaki, jal, gil, hun, kol, bag, chk
x$	x	ish, yas, shm, pashto, khp, cho, chp, psu, kmg, shg, ronb, jal, pal, kol, skb, tan, bun
ḍ	ɖ	pashto, urdu, kac, goh, domaaki, uyu, chj, gup, saz, hop, drs, chk, nag, jal, pal, krm, har, kol, sat, gil, pun, gul, dar, bun
ṭʰ$	ʈʰ	hop, jal, pal, kol, clt, goh, domaaki, uyu, sas, chj, tan, bag, gup, yas, shm, urdu, chk, nag, thu, yasc, chp, gil, hun, ish, psu, pun
e̱$	e̠/e	gil, pal, krm, jal, sas, dsh, bag, ast, nag, drs, hun, bun, chj, gul, dar, pun, chk
ɸ	ɸ	shg, ronb, skb, yasc, psk, uyu, thu, kmg, chj, hyd, khp, hop, mur, gan, chk
^ǰ̣	ɖʐ	kac, shg, skb, naz, hyd, khp, domaaki, hop, uyu, hus, mur, gan, yasc
^ŋ	ŋ	psk, kmg, cho, khp, ronb, skb, shg, krm
^ɪ	ɪ	hyd, hop, hus, naz, yasc, domaaki, uyu, mur, thu, gan, kmg, nag, khp, yas, hun, ron
ˈkʰ	ˈkʰ/kʰ	clt, gup, nag, hun, goh, domaaki, ron, sas, chj, tan, ast, bag, saz, drs, chk, kac, hus, krm, har, sat, gil, dsh, pun, gul, dar
^ð	ð	ish, psu, chp, shm, yas
^ˈr	ˈɾ̪/ɾ	gul, clt, goh, ron, sas, chj, tan, ast, bag, gup, saz, yas, shm, drs, chk, kac, nag, jal, krm, har, kol, sat, chp, gil, ish, psu, dsh, pun
oʰ$	oʰ/o	kac, clt, goh, chj, chk, jal, pal, sat, ron, sas, skb, tan, saz, har, kol, hun, gul, dar, bun
ˈi	ˈi/i	naz, hyd, hus, mur, gan, hop, uyu, thu
r̃	r̪	pun, bag, sat, kac, bun, clt, chk, goh, ast, gil, hun, chj, tan
ɑ̱$	ɑ̠/ɑ	bun, ast, gil, bag, dsh, pun, gul, gup, har, nag, ron, sas, hun, pal, krm
ˈẓ̌	ˈʐ/ʐ	sat, ast, dsh, gul, clt, ron, sas, chj, tan, bag, gup, saz, chk, nag, jal, pal, krm, har, gil, hun, pun, dar, bun
ỵ	ɻ	naz, hyd, mur, gan, hop, uyu, hus, domaaki
é	é/e	goh, sas, ast, nag, gil, hun, dsh, clt, bag, gup, saz, kac, jal, pal, har, krm, sat, pun, gul, bun
^e	e	urdu, gil, hun, har, bun, sat, yasc, goh, nag, psk, sas, gan, pun
ˈṣ̌	ˈʂ/ʂ	kol, bun, har, gil, chj, thu, dar, chk, yasc, jal, ron, dsh, bag, gup
^ˈǰ	ˈdʑ/dʑ	domaaki, saz, dar, ron, uyu, sas, mur, tan, ast, gup, gan, hop, jal, hus, har, kol, naz, hyd, dsh, pun, gul
ɪ̱	ɪ̠/ɪ	nag, clt, gil, bun, jal, pal, dsh, pun, dar, ast, drs
ˈŋ	ˈŋ/ŋ	krm, sat, gul, ast, kac, drs, hus, naz, yasc, chj, hyd, thu, dar
^ˈɑ̃	ˈɑ̃/ɑ̃	tan, gup, kac, sas, chj, bag, ast, saz, drs, chk, nag, jal, pal, har, krm, kol, sat, gil, dsh, pun, gul, dar
ú$	ú/u	clt, ast, nag, gil, gul, bag, bun, chk, sat, goh, kac, saz, sas, hun, dsh, chj, pun, gup
gʸ	gʲ	kmg, cho, khp, psk, shg, ronb, skb
i̥$	i̥	kol, chk, jal, dsh, saz, sat, ron, gil, chj, bag, ast, gup
ɣ$	ɣ	chp, psu, shm, yas, ish, hyd, pal, pashto, kol
ɬ	l̪	yasc, thu, kmg, khp, shm
^f	f	bun, nag, yas, chj, drs, chk, krm, chp, ronb, gil, hun, ish, psu, shm, pun
ii$	i i	har, chk, krm, kol, ron, drs, chj, gul, kac, jal, mur, dar, bag, bun
^ˈẓ̌	ˈʐ/ʐ	jal, pal, kol, clt, goh, chj, tan, bag, gup, saz, drs, chk, kac, har, krm, sat, hun, pun, dar, bun
^q	q	naz, hyd, hus, urdu, mur, shm, gan, yasc, yas, chp, hop, uyu, psu, ish, thu
ee	e e	kac, ron, uyu, kol, chk, sat, yasc, clt, jal, hop, gil, sas, pal, chj, pun, thu, bag, gup
ˈe	ˈe/e	naz, hyd, hop, uyu, hus, mur, dar, gan, clt, nag, domaaki, har, pun, tan
ˈtʰ	ˈt̪ʰ/t̪ʰ	jal, pal, krm, naz, yasc, chj, hyd, hop, uyu, hus, mur, thu, gan, chk
ˈč̣ʰ	ˈʈʂʰ/ʈʂʰ	nag, gup, clt, saz, gil, pun, ast, sas, hun, dsh, krm, gul, tan, bag
ɑ́$	ɑ́/ɑ	ast, dsh, sat, goh, kac, gul, pun
ɑⁱ	ɑi	bag, chk, sat, hun, chj, goh, nag, jal, kol, dsh, pal, pun, pashto, dar, bun
^ò	ò/o	kac, clt, jal, sas, pun, bag, sat, goh, gil, pal, hun, bun
ñ	ȵ	cho, shg, kmg, khp, ronb, skb, psk
ˈt͡s	ˈtθ/tθ	naz, hyd, hop, uyu, hus, mur, gan, yasc, gul, saz, pal, krm, thu
^è	è/e	clt, bag, kac, sat, gil, sas, hun, pun, bun
b$	b	urdu, yas, chp, ish, psu, shm, pashto, nag
^ˈč̣ʰ	ˈʈʂʰ/ʈʂʰ	clt, gil, naz, sat, ast, gup, hyd, hop, uyu, hus, dsh, mur, krm, pun, drs, bag, gan
ˈq	ˈq/q	hop, naz, yasc, hyd, uyu, hus, mur, gan, thu
ˈi$	ˈi/i	naz, hyd, hop, uyu, hus, mur, gan, sat, yasc, tan, dar
ˈɛ	ˈɛ/ɛ	naz, yasc, hyd, hop, uyu, hus, mur, thu, gan
ṭʰ	ʈʰ	pal, jal, urdu, kol, chk, nag, saz, chj
xs	x s̪	ronb, psk, shg, kmg, khp, cho, skb
ˈx	ˈx/x	sas, bun, chk, har, tan, saz, jal, kol, pal, ish, dsh, mur, chj, thu, dar
^ˈʌ	ˈɜ/ɜ	kac, tan, sat, bun, har, gul, ron, hun, dsh, krm, ast
i̱ʰ$	i̠ʰ/i	gul, chk, clt, goh, ast, nag, jal, kol, gil, sas, hun, chj, pun, bag, gup, bun
^bʸ	bʲ	kmg, psk, shg, khp, cho, ronb, skb, drs
^ˈɪ	ˈɪ/ɪ	yasc, hop, uyu, hus, mur, thu, gan, naz, hyd
x̯	x̯/x	yas, ish, shm, chp, psu
^ˈḍ	ˈɖ/ɖ	kol, krm, dar, gul, chj, jal, gil, hun, pal, pun, tan, gup, chk
ɛ̱	ɛ̠/ɛ	clt, ast, nag, har, goh, gil, sas, hun, chj, pun, gul, bag, chk
ˈṇ	ˈɳ/ɳ	jal, chk, har, chj, saz, kol, gil, sas, pal, krm, pun, tan, bag, gup, bun
ós$	ó/o s̪	chk, sat, har, goh, kac, chj, saz, jal, gil, pal, dsh, krm, pun, ast, gup, bun
^ᶷr	ʊ ɾ̪/ɾ	psk, shg, khp, ronb, kmg, skb
^ẓ̌	ʐ	ronb, chp, gil, sas, sat, gul, psu, krm, shm, drs
^gʸ	gʲ	skb, kmg, cho, ronb, krm, har, psk, shg, khp, saz
ˈo$	ˈo/o	naz, goh, nag, hyd, jal, hop, ron, uyu, hus, pal, hun, mur, krm, gan, chk
u̥$	u̥	pal, jal, kol
ɛɛ	ɛ ɛ	dar, sat, goh, gul, kac, nag, saz, gil, krm, pun, drs, gup, bun
ɑ̃$	ɑ̃	pal, urdu, kac, jal, sat, goh, sas, bun
v	v	chp, ish, psu, yas, shm, urdu
rs$	ɾ̪/ɾ s̪	kmg, psk, shg, khp, cho, ronb, skb
^ˈṣ̌	ˈʂ/ʂ	jal, kol, bun, krm, kac, nag, gil, uyu, har, gul, dar
^ˈe	ˈe/e	naz, sat, gul, kac, hyd, hop, uyu, hus, dsh, mur, krm, thu, ast, gan
^ˈč̣	ˈʈʂ/ʈʂ	har, chk, sat, goh, kac, chj, saz, kol, ron, sas, hun, pun, bun
uu$	u u	har, ron, dar, kac, nag, saz, dsh, krm, pun, gup, kol
ee$	e e	nag, ron, bun, gul, saz, jal, kol, gil, tan, gup
^ṭ	ʈ	urdu, psk, hun, yasc, thu, clt, nag, chp, pashto
ˈo	ˈo/o	hop, uyu, naz, hyd, domaaki, hus, mur, har, dar, gan
ˈgw	ˈg/g β̞	bag, har, goh, saz, kol, sas, hun, dsh, chj, pun, gup, chk
ũũ$	ũ ũ	jal, pal, kol, chk, clt, ron, dsh, bun, tan, ast
^dʸ	d̪ʲ	psk, cho, khp, shg, ronb, skb
ˈḍ	ˈɖ/ɖ	naz, gup, hyd, hop, uyu, hus, dsh, mur, tan, dar, ast, gan
^ˈg̣	ˈɢ/ɢ	hyd, hop, uyu, hus, mur, gan
ỵ$	ɻ	uyu, naz, hyd, hop, hus, mur, gan
o̥$	o̥	kol, pal, chk, yasc, saz, jal, chj, thu
ə$	ə	pashto
ṛ$	ɽ	pashto, urdu, pal, kol, tan
čʰ	tɕʰ	cho, kmg, shg, khp, ronb, domaaki, saz, skb, tan, urdu
^ṭʰ	ʈʰ	kol, sat, psk, jal, pal, dsh, krm, gul, ast, urdu
^v	v	urdu, yas, ish, chp, psu, shm
